Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Comp,Unnamed: 6_level_0_Age,Unnamed: 7_level_0_Born,Unnamed: 8_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 25_level_0_Matches
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,25-064,2000,1.0,2,2.09,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2,Max Aarons,eng ENG,MF,Valencia,es La Liga,25-064,2000,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
3,Rodrigo Abajas,es ESP,DF,Valencia,es La Liga,21-301,2003,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
4,James Abankwah,ie IRL,"DF,MF",Udinese,it Serie A,21-052,2004,1.0,1,1.02,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
5,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,18-338,2006,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
6,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,37-162,1987,10.8,6,0.55,5,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
7,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,25-112,1999,22.7,69,3.04,58,2,3,1,3,2,2,0.09,1,0,1,0,0,0,Matches
8,Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,26-036,1999,6.8,3,0.44,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
9,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,31-079,1993,10.4,29,2.79,20,3,3,2,0,1,2,0.19,1,1,0,0,0,0,Matches
10,Saud Abdulhamid,sa KSA,DF,Roma,it Serie A,25-234,1999,1.6,3,1.91,3,0,0,0,0,0,1,0.64,1,0,0,0,0,0,Matches
