Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Comp,Unnamed: 6_level_0_Age,Unnamed: 7_level_0_Born,Unnamed: 8_level_0_90s,Total_Cmp,Total_Att,Total_CmpPct,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_CmpPct,Medium_Cmp,Medium_Att,Medium_CmpPct,Long_Cmp,Long_Att,Long_CmpPct,Unnamed: 23_level_0_Ast,Unnamed: 24_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 27_level_0_KP,Unnamed: 28_level_0_1_3,Unnamed: 29_level_0_PPA,Unnamed: 30_level_0_CrsPA,Unnamed: 31_level_0_PrgP,Unnamed: 32_level_0_Matches
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,25-064,2000,1.0,50,63,79.4,887,361,21,25,84.0,24,29,82.8,4,7,57.1,0,0.0,0.0,0.0,0,8,0,0,8,Matches
2,Max Aarons,eng ENG,MF,Valencia,es La Liga,25-064,2000,0.3,14,18,77.8,222,48,6,7,85.7,6,9,66.7,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,2,Matches
3,Rodrigo Abajas,es ESP,DF,Valencia,es La Liga,21-301,2003,0.7,17,29,58.6,268,110,11,14,78.6,4,7,57.1,2,7,28.6,0,0.0,0.0,0.0,0,0,0,0,2,Matches
4,James Abankwah,ie IRL,"DF,MF",Udinese,it Serie A,21-052,2004,1.0,36,46,78.3,614,206,13,15,86.7,18,21,85.7,3,8,37.5,0,0.0,0.0,0.0,0,2,0,0,4,Matches
5,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,18-338,2006,0.0,2,2,100.0,41,0,0,0,,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
6,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,37-162,1987,10.8,432,498,86.7,7860,2367,145,157,92.4,259,283,91.5,23,48,47.9,0,0.1,0.3,-0.1,2,27,0,0,22,Matches
7,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,25-112,1999,22.7,1037,1259,82.4,15737,4315,557,629,88.6,384,443,86.7,54,106,50.9,1,2.8,2.7,-1.8,30,119,29,1,155,Matches
8,Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,26-036,1999,6.8,291,332,87.7,5339,1686,105,115,91.3,160,175,91.4,19,32,59.4,0,0.0,0.1,0.0,0,15,1,0,26,Matches
9,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,31-079,1993,10.4,320,433,73.9,5049,1729,164,197,83.2,127,165,77.0,19,40,47.5,2,1.4,1.2,+0.6,13,11,13,3,29,Matches
10,Saud Abdulhamid,sa KSA,DF,Roma,it Serie A,25-234,1999,1.6,77,86,89.5,1142,226,44,47,93.6,31,33,93.9,1,3,33.3,1,0.1,0.2,+0.9,1,3,2,1,6,Matches
11,Abel,es ESP,DF,Osasuna,es La Liga,24-200,2000,16.4,534,747,71.5,8967,3745,269,304,88.5,213,277,76.9,42,120,35.0,0,0.7,0.9,-0.7,9,42,8,6,56,Matches
12,Nabil Aberdin,fr FRA,MF,Getafe,es La Liga,22-198,2002,2.9,36,61,59.0,680,267,12,20,60.0,12,19,63.2,8,13,61.5,0,0.0,0.1,0.0,1,7,2,0,6,Matches
13,Oliver Abildgaard,dk DEN,MF,Como,it Serie A,28-272,1996,0.1,1,1,100.0,21,7,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
14,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,21-346,2003,21.1,260,375,69.3,3800,671,141,183,77.0,86,114,75.4,15,27,55.6,1,2.7,2.7,-1.7,19,16,14,4,33,Matches
15,Abner,br BRA,DF,Lyon,fr Ligue 1,24-286,2000,9.1,420,502,83.7,6126,2606,242,265,91.3,139,164,84.8,24,39,61.5,1,0.9,1.9,+0.1,10,32,10,2,51,Matches
16,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,25-019,2000,20.3,212,335,63.3,2647,728,140,186,75.3,52,90,57.8,6,14,42.9,2,1.5,1.8,+0.5,11,15,9,3,22,Matches
17,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,25-364,1999,23.5,645,847,76.2,14225,5082,164,176,93.2,378,412,91.7,99,234,42.3,1,0.2,0.4,+0.8,7,58,9,2,76,Matches
18,Tammy Abraham,eng ENG,FW,Roma,it Serie A,27-158,1997,0.0,1,3,33.3,44,32,0,1,0.0,0,1,0.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
19,Tammy Abraham,eng ENG,FW,Milan,it Serie A,27-158,1997,10.6,118,167,70.7,1516,381,69,91,75.8,38,56,67.9,2,4,50.0,2,1.3,1.0,+0.7,10,9,7,0,19,Matches
20,Federico Accornero,it ITA,MF,Genoa,it Serie A,21-032,2004,0.1,4,6,66.7,55,19,2,3,66.7,2,2,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
21,Francesco Acerbi,it ITA,DF,Inter,it Serie A,37-027,1988,12.4,807,863,93.5,15232,4357,265,285,93.0,469,483,97.1,63,76,82.9,1,0.4,0.7,+0.6,6,37,3,2,44,Matches
22,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,18-308,2006,1.9,103,122,84.4,2008,699,29,32,90.6,62,66,93.9,11,20,55.0,0,0.0,0.0,0.0,0,6,0,0,8,Matches
23,Akor Adams,ng NGA,FW,Sevilla,es La Liga,25-039,2000,0.1,2,3,66.7,15,12,1,1,100.0,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
24,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,25-039,2000,11.9,112,179,62.6,1540,198,72,101,71.3,32,49,65.3,3,10,30.0,1,1.0,0.1,0.0,12,8,0,0,6,Matches
25,Che Adams,sct SCO,FW,Torino,it Serie A,28-239,1996,20.3,304,421,72.2,4655,865,165,214,77.1,100,128,78.1,23,36,63.9,3,1.8,2.6,+1.2,21,24,5,0,27,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
26,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,26-023,1999,12.0,464,553,83.9,7539,1765,220,249,88.4,215,241,89.2,19,33,57.6,3,0.7,0.3,+2.3,10,36,1,0,45,Matches
27,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,23-276,2001,11.6,142,223,63.7,1700,194,87,127,68.5,36,54,66.7,1,3,33.3,1,1.4,1.5,-0.4,13,4,4,0,7,Matches
28,Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,27-166,1997,11.1,803,876,91.7,14723,5386,311,324,96.0,441,461,95.7,49,80,61.3,1,0.2,0.1,+0.8,1,45,0,0,27,Matches
29,Martin Adeline,fr FRA,MF,Reims,fr Ligue 1,21-097,2003,0.3,8,10,80.0,138,11,3,3,100.0,3,4,75.0,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches
30,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,23-050,2002,10.4,218,290,75.2,3220,567,122,145,84.1,74,90,82.2,11,17,64.7,3,2.7,2.0,+0.3,18,7,11,0,18,Matches
31,Simon Adingra,ci CIV,"FW,MF",Brighton,eng Premier League,23-067,2002,6.9,167,222,75.2,2325,500,105,120,87.5,47,63,74.6,9,19,47.4,1,1.1,1.6,-0.1,8,3,8,2,10,Matches
32,Amine Adli,ma MAR,"MF,FW",Leverkusen,de Bundesliga,24-303,2000,4.5,157,209,75.1,1915,364,103,122,84.4,38,50,76.0,4,11,36.4,0,0.2,1.2,-0.2,5,3,9,4,12,Matches
33,Yacine Adli,fr FRA,MF,Fiorentina,it Serie A,24-223,2000,12.4,649,798,81.3,12791,4149,273,301,90.7,260,290,89.7,108,178,60.7,4,2.2,2.0,+1.8,21,80,10,3,96,Matches
34,Adrián,es ESP,GK,Betis,es La Liga,38-065,1987,7.0,187,243,77.0,4992,3387,21,21,100.0,105,108,97.2,61,112,54.5,0,0.0,0.0,0.0,0,2,0,0,0,Matches
35,Adryelson,br BRA,DF,Lyon,fr Ligue 1,26-351,1998,0.0,1,3,33.3,21,19,0,1,0.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches
36,Vasilije Adžić,me MNE,"MF,FW",Juventus,it Serie A,18-301,2006,0.3,12,16,75.0,202,22,6,8,75.0,5,6,83.3,1,1,100.0,0,0.0,0.0,0.0,0,1,1,0,1,Matches
37,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,28-062,1997,4.2,177,203,87.2,3246,834,78,85,91.8,76,84,90.5,21,24,87.5,0,0.3,0.5,-0.3,6,18,3,1,20,Matches
38,Oladapo Afolayan,eng ENG,"FW,MF",St. Pauli,de Bundesliga,27-025,1998,15.3,274,389,70.4,4795,1122,125,160,78.1,108,137,78.8,33,47,70.2,1,3.3,3.2,-2.3,18,19,11,9,26,Matches
39,Emmanuel Agbadou,ci CIV,DF,Wolves,eng Premier League,27-265,1997,5.7,280,343,81.6,5774,1995,94,102,92.2,140,156,89.7,43,71,60.6,0,0.0,0.0,0.0,0,10,0,0,14,Matches
40,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,27-265,1997,14.0,810,922,87.9,16521,6962,293,316,92.7,400,417,95.9,110,174,63.2,0,0.3,0.3,-0.3,8,71,4,1,77,Matches
41,Asher Agbinone,eng ENG,MF,Crystal Palace,eng Premier League,19-162,2005,0.1,2,3,66.7,32,0,1,1,100.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,1,0,0,0,0,Matches
