Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Comp,Unnamed: 6_level_0_Age,Unnamed: 7_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 37_level_0_Matches
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,25-064,2000,3,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2,Max Aarons,eng ENG,MF,Valencia,es La Liga,25-064,2000,1,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
3,Rodrigo Abajas,es ESP,DF,Valencia,es La Liga,21-301,2003,1,1,65,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,2,3,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10,Matches
4,James Abankwah,ie IRL,"DF,MF",Udinese,it Serie A,21-052,2004,6,0,88,1.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,4,1,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches
5,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,18-338,2006,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
6,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,37-162,1987,12,11,976,10.8,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.4,4,22,3,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
7,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,25-112,1999,23,23,2042,22.7,6,1,7,3,3,4,2,0,5.6,2.4,2.8,5.2,84,155,90,0.26,0.04,0.31,0.13,0.18,0.24,0.12,0.37,0.11,0.23,Matches
8,Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,26-036,1999,9,7,609,6.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2,26,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
9,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,31-079,1993,16,11,934,10.4,2,2,4,2,0,0,1,0,1.2,1.2,1.4,2.6,26,29,58,0.19,0.19,0.39,0.19,0.39,0.11,0.13,0.25,0.11,0.25,Matches
10,Saud Abdulhamid,sa KSA,DF,Roma,it Serie A,25-234,1999,3,1,142,1.6,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,4,6,18,0.00,0.63,0.63,0.00,0.63,0.02,0.07,0.09,0.02,0.09,Matches
11,Abel,es ESP,DF,Osasuna,es La Liga,24-200,2000,25,14,1478,16.4,2,0,2,2,0,0,2,0,0.4,0.4,0.7,1.1,37,56,57,0.12,0.00,0.12,0.12,0.12,0.02,0.04,0.07,0.02,0.07,Matches
12,Nabil Aberdin,fr FRA,MF,Getafe,es La Liga,22-198,2002,7,4,263,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,2,6,2,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches
13,Oliver Abildgaard,dk DEN,MF,Como,it Serie A,28-272,1996,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
14,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,21-346,2003,24,23,1900,21.1,7,1,8,6,1,1,2,0,7.1,6.3,2.7,9.0,49,33,125,0.33,0.05,0.38,0.28,0.33,0.34,0.13,0.46,0.30,0.42,Matches
15,Abner,br BRA,DF,Lyon,fr Ligue 1,24-286,2000,14,9,820,9.1,1,1,2,1,0,0,1,0,0.2,0.2,0.9,1.1,22,51,48,0.11,0.11,0.22,0.11,0.22,0.02,0.10,0.12,0.02,0.12,Matches
16,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,25-019,2000,23,22,1827,20.3,7,2,9,6,1,2,4,0,10.1,8.5,1.5,10.0,29,22,152,0.34,0.10,0.44,0.30,0.39,0.50,0.07,0.57,0.42,0.49,Matches
17,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,25-364,1999,25,25,2118,23.5,0,1,1,0,0,0,12,0,0.8,0.8,0.2,1.0,15,76,4,0.00,0.04,0.04,0.00,0.04,0.03,0.01,0.04,0.03,0.04,Matches
18,Tammy Abraham,eng ENG,FW,Roma,it Serie A,27-158,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
19,Tammy Abraham,eng ENG,FW,Milan,it Serie A,27-158,1997,22,9,955,10.6,2,2,4,1,1,2,1,0,6.1,4.4,1.3,5.7,5,19,52,0.19,0.19,0.38,0.09,0.28,0.57,0.12,0.69,0.42,0.53,Matches
20,Federico Accornero,it ITA,MF,Genoa,it Serie A,21-032,2004,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
21,Francesco Acerbi,it ITA,DF,Inter,it Serie A,37-027,1988,14,14,1120,12.4,0,1,1,0,0,0,0,0,0.3,0.3,0.4,0.8,8,44,14,0.00,0.08,0.08,0.00,0.08,0.03,0.03,0.06,0.03,0.06,Matches
22,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,18-308,2006,3,2,168,1.9,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,8,0,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Matches
23,Akor Adams,ng NGA,FW,Sevilla,es La Liga,25-039,2000,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
24,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,25-039,2000,15,13,1075,11.9,3,1,4,3,0,0,2,0,4.3,4.3,1.0,5.3,11,6,45,0.25,0.08,0.33,0.25,0.33,0.36,0.08,0.44,0.36,0.44,Matches
25,Che Adams,sct SCO,FW,Torino,it Serie A,28-239,1996,26,21,1823,20.3,8,3,11,8,0,0,2,0,5.2,5.2,1.8,7.0,18,27,109,0.39,0.15,0.54,0.39,0.54,0.25,0.09,0.34,0.25,0.34,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
