id,name,position,team,pace,stamina,strength,short_passing,long_passing,vision,finishing,shot_power,dribbling,ball_control,tackling,interceptions,blocking,positioning,reflexes,handling,gk_positioning
1,Max Aarons,DF,Bournemouth,73,79,50,84,57,50,50,50,50,50,60,60,60,50,50,50,50
2,Max Aarons,MD,Valencia,73,80,50,85,100,50,50,50,50,50,50,50,50,50,50,50,50
3,Rodrigo Abajas,DF,Valencia,80,87,50,78,28,50,50,50,50,50,60,60,60,50,50,50,50
4,James Abankwah,MD,Udinese,79,78,50,86,37,50,50,50,50,50,50,52,50,53,50,50,50
5,Keyliane Abdallah,AT,Marseille,90,74,50,50,50,50,60,50,60,50,50,50,50,50,50,50,50
6,Yunis Abdelhamid,DF,Saint-Étienne,61,73,50,92,47,56,50,50,50,50,60,76,60,100,50,50,50
7,Himad Abdelli,AT,Angers,85,80,50,88,50,100,60,50,60,50,50,70,50,68,50,50,50
8,Mohamed Abdelmoneim,DF,Nice,67,79,50,91,59,50,50,50,50,50,60,76,60,89,50,50,50
9,Ali Abdi,MD,Nice,84,92,50,83,47,89,50,50,50,50,50,72,50,78,50,50,50
10,Saud Abdulhamid,DF,Roma,61,84,50,93,33,53,50,50,50,50,60,60,60,50,50,50,50
11,Abel,DF,Osasuna,66,81,50,88,35,77,50,50,50,50,60,76,60,96,50,50,50
12,Nabil Aberdin,MD,Getafe,71,89,50,60,61,53,50,50,50,50,50,50,50,55,50,50,50
13,Oliver Abildgaard,MD,Como,86,76,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
14,Matthis Abline,AT,Nantes,82,71,50,77,55,100,60,50,60,50,50,54,50,76,50,50,50
15,Abner,DF,Lyon,68,77,50,91,61,80,50,50,50,50,60,60,60,82,50,50,50
16,Zakaria Aboukhlal,AT,Toulouse,85,78,50,75,42,83,60,50,60,50,50,62,50,58,50,50,50
17,Abdel Abqar,DF,Alavés,79,80,50,93,42,71,50,50,50,50,60,100,60,100,50,50,50
18,Tammy Abraham,AT,Roma,91,68,50,50,100,50,60,50,60,50,50,50,50,50,50,50,50
19,Tammy Abraham,AT,Milan,81,70,50,75,50,80,60,50,60,50,50,54,50,58,50,50,50
20,Federico Accornero,MD,Genoa,77,91,50,66,50,50,50,50,50,50,50,50,50,50,50,50,50
21,Francesco Acerbi,DF,Inter,66,73,50,93,82,68,50,50,50,50,60,90,60,100,50,50,50
22,Joshua Acheampong,DF,Chelsea,68,86,50,90,55,50,50,50,50,50,60,60,60,52,50,50,50
23,Akor Adams,AT,Sevilla,75,73,50,100,50,50,60,50,60,50,50,50,50,51,50,50,50
24,Akor Adams,AT,Montpellier,86,75,50,71,30,86,60,50,60,50,50,52,50,55,50,50,50
25,Che Adams,AT,Torino,89,72,50,77,63,100,60,50,60,50,50,52,50,64,50,50,50
26,Tyler Adams,MD,Bournemouth,75,77,50,88,57,80,50,50,50,50,50,100,50,76,50,50,50
27,Junior Adamu,AT,Freiburg,80,84,50,68,33,89,60,50,60,50,50,66,50,63,50,50,50
28,Tosin Adarabioyo,DF,Chelsea,81,73,50,96,61,53,50,50,50,50,60,64,60,97,50,50,50
29,Martin Adeline,MD,Reims,85,90,50,100,50,50,50,50,50,50,50,50,50,52,50,50,50
30,Karim Adeyemi,AT,Dortmund,94,82,50,84,64,100,60,50,60,50,50,62,50,55,50,50,50
31,Simon Adingra,AT,Brighton,81,82,50,87,47,74,60,50,60,50,50,62,50,53,50,50,50
32,Amine Adli,AT,Leverkusen,89,77,50,84,36,65,60,50,60,50,50,52,50,53,50,50,50
33,Yacine Adli,MD,Fiorentina,70,77,50,90,60,100,50,50,50,50,50,62,50,68,50,50,50
34,Adrián,GK,Betis,59,73,50,100,54,50,30,50,40,50,50,50,50,53,80,80,80
35,Adryelson,DF,Lyon,58,87,50,50,50,50,50,50,50,50,60,60,60,51,50,50,50
36,Vasilije Adžić,AT,Juventus,69,85,50,75,100,50,60,50,60,50,50,50,50,50,50,50,50
37,Michel Aebischer,MD,Bologna,79,78,50,91,87,68,50,50,50,50,50,60,50,52,50,50,50
38,Oladapo Afolayan,AT,St. Pauli,69,72,50,78,70,100,60,50,60,50,50,64,50,67,50,50,50
39,Emmanuel Agbadou,DF,Wolves,76,76,50,92,60,50,50,50,50,50,60,64,60,85,50,50,50
40,Emmanuel Agbadou,DF,Reims,60,82,50,92,63,74,50,50,50,50,60,88,60,100,50,50,50
41,Asher Agbinone,MD,Crystal Palace,67,79,50,100,50,53,50,50,50,50,50,50,50,50,50,50,50
42,Jeremy Agbonifo,AT,Lens,76,78,50,86,50,53,60,50,60,50,50,52,50,50,50,50,50
43,Julen Agirrezabala,GK,Athletic Club,46,61,50,100,35,50,30,50,40,50,50,50,50,54,80,80,80
44,Lucien Agoume,MD,Sevilla,84,84,50,90,59,74,50,50,50,50,50,90,50,65,50,50,50
45,Felix Agu,DF,Werder Bremen,58,86,50,86,57,83,50,50,50,50,60,74,60,82,50,50,50
46,Álvaro Aguado,MD,Espanyol,85,95,50,76,70,56,50,50,50,50,50,56,50,55,50,50,50
47,Lorenzo Aguado,DF,Real Madrid,71,70,50,50,100,50,50,50,50,50,60,60,60,52,50,50,50
48,Nayef Aguerd,DF,Real Sociedad,65,87,50,94,62,65,50,50,50,50,60,76,60,100,50,50,50
49,Ruben Aguilar,DF,Lens,77,68,50,88,75,59,50,50,50,50,60,66,60,64,50,50,50
50,Naouirou Ahamada,AT,Rennes,77,70,50,72,50,50,60,50,60,50,50,54,50,52,50,50,50
51,Honest Ahanor,DF,Genoa,74,79,50,60,50,50,50,50,50,50,60,60,60,52,50,50,50
52,Erik Ahlstrand,AT,St. Pauli,77,84,50,100,50,50,60,50,60,50,50,52,50,51,50,50,50
53,Jean-Eudes Aholou,MD,Angers,64,78,50,89,44,74,50,50,50,50,50,100,50,78,50,50,50
54,Joseph Aidoo,DF,Valladolid,74,86,50,93,42,50,50,50,50,50,60,60,60,60,50,50,50
55,Joseph Aidoo,DF,Celta Vigo,70,74,50,100,50,50,50,50,50,50,60,60,60,50,50,50,50
56,Ayman Aiki,AT,Saint-Étienne,86,82,50,70,33,53,60,50,60,50,50,52,50,50,50,50,50
57,Ola Aina,DF,Nott'ham Forest,66,79,50,87,36,83,50,50,50,50,60,100,60,100,50,50,50
58,Rayan Aït-Nouri,DF,Wolves,58,70,50,93,39,100,50,50,50,50,60,88,60,100,50,50,50
59,Junior Ajayi,AT,Hellas Verona,83,69,50,50,50,50,60,50,60,50,50,50,50,50,50,50,50
60,Kristoffer Ajer,DF,Brentford,68,80,50,86,51,65,50,50,50,50,60,68,60,89,50,50,50
61,Ludovic Ajorque,AT,Brest,88,85,50,72,73,100,60,50,60,50,50,58,50,67,50,50,50
62,Manuel Akanji,DF,Manchester City,81,74,50,96,73,77,50,50,50,50,60,64,60,100,50,50,50
63,Ümit Akdag,DF,Toulouse,79,69,50,82,34,56,50,50,50,50,60,72,60,65,50,50,50
64,Nathan Aké,DF,Manchester City,63,77,50,98,58,53,50,50,50,50,60,60,60,72,50,50,50
65,Ilias Akhomach,AT,Villarreal,76,71,50,86,57,77,60,50,60,50,50,56,50,63,50,50,50
66,Sergio Akieme,DF,Reims,67,71,50,93,28,83,50,50,50,50,60,76,60,100,50,50,50
67,Maghnes Akliouche,AT,Monaco,92,85,50,90,59,100,60,50,60,50,50,70,50,59,50,50,50
68,Clément Akpa,DF,Auxerre,63,86,50,87,55,74,50,50,50,50,60,100,60,100,50,50,50
69,Jean-Daniel Akpa-Akpro,MD,Monza,79,91,50,87,71,56,50,50,50,50,50,54,50,53,50,50,50
70,David Akpan Ankeye,AT,Genoa,83,83,50,75,50,50,60,50,60,50,50,50,50,51,50,50,50
71,Kevin Akpoguma,DF,Hoffenheim,66,76,50,95,59,68,50,50,50,50,60,92,60,100,50,50,50
72,Chuba Akpom,AT,Lille,70,70,50,82,66,59,60,50,60,50,50,50,50,52,50,50,50
73,David Alaba,DF,Real Madrid,79,85,50,100,38,50,50,50,50,50,60,60,60,54,50,50,50
74,Andreas Albers,AT,St. Pauli,73,72,50,55,50,56,60,50,60,50,50,50,50,51,50,50,50
75,Raúl Albiol,DF,Villarreal,65,82,50,94,66,50,50,50,50,50,60,62,60,100,50,50,50
76,Carlos Alcaraz,MD,Southampton,87,91,50,100,100,53,50,50,50,50,50,52,50,50,50,50,50
77,Carlos Alcaraz,AT,Everton,80,65,50,91,57,71,60,50,60,50,50,52,50,53,50,50,50
78,Omar Alderete,DF,Getafe,70,80,50,80,48,80,50,50,50,50,60,100,60,100,50,50,50
79,Carles Aleñá,AT,Getafe,86,84,50,81,54,59,60,50,60,50,50,50,50,57,50,50,50
80,Carles Aleñá,AT,Alavés,90,79,50,91,54,74,60,50,60,50,50,50,50,50,50,50,50
81,Trent Alexander-Arnold,DF,Liverpool,80,86,50,90,50,100,50,50,50,50,60,100,60,100,50,50,50
82,Alfon,AT,Celta Vigo,68,69,50,87,53,86,60,50,60,50,50,56,50,55,50,50,50
83,Mohamed Ali Cho,AT,Nice,89,73,50,84,40,100,60,50,60,50,50,56,50,58,50,50,50
84,Faride Alidou,AT,Hellas Verona,86,77,50,100,50,53,60,50,60,50,50,52,50,53,50,50,50
85,Alisson,GK,Liverpool,58,78,50,98,48,53,30,50,40,50,50,50,50,62,80,80,80
86,Tadeo Allende,AT,Celta Vigo,86,68,50,50,50,50,60,50,60,50,50,50,50,50,50,50,50
87,Jim Allevinah,AT,Angers,72,77,50,84,61,86,60,50,60,50,50,68,50,66,50,50,50
88,Thiago Almada,AT,Lyon,76,69,50,92,52,56,60,50,60,50,50,52,50,52,50,50,50
89,Domingos André Ribeiro Almeida,AT,Valencia,90,75,50,93,59,100,60,50,60,50,50,62,50,59,50,50,50
90,Iker Almena,AT,Girona,84,73,50,92,50,56,60,50,60,50,50,50,50,52,50,50,50
91,Miguel Almirón,AT,Newcastle Utd,88,75,50,92,33,59,60,50,60,50,50,50,50,50,50,50,50
92,Pontus Almqvist,AT,Parma,74,69,50,82,54,77,60,50,60,50,50,70,50,56,50,50,50
