id,name
1,Bournemouth
2,Valencia
3,Udinese
4,Marseille
5,Saint-Étienne
6,Angers
7,Nice
8,Roma
9,Osasuna
10,Getafe
11,Como
12,Nantes
13,Lyon
14,Toulouse
15,Alavés
16,Milan
17,Genoa
18,Inter
19,Chelsea
20,Sevilla
21,Montpellier
22,Torino
23,Freiburg
24,Reims
25,Dortmund
26,Brighton
27,Leverkusen
28,Fiorentina
29,Betis
30,Juventus
31,Bologna
32,St. Pauli
33,Wolves
34,Crystal Palace
35,Lens
36,Athletic Club
37,Werder Bremen
38,Espanyol
39,Real Madrid
40,Real Sociedad
41,Rennes
42,Valladolid
43,Celta Vigo
44,Nott'ham Forest
45,Hellas Verona
46,Brentford
47,Brest
48,Manchester City
49,Villarreal
50,Monaco
51,Auxerre
52,Monza
53,Hoffenheim
54,Lille
55,Southampton
56,Everton
57,Liverpool
58,Girona
59,Newcastle Utd
60,Parma
61,Venezia
62,Leganés
63,West Ham
64,Atlético Madrid
65,Leicester City
66,Eint Frankfurt
67,Mainz 05
68,Wolfsburg
69,Fulham
70,Empoli
71,Manchester Utd
72,Barcelona
73,Holstein Kiel
74,Mallorca
75,Aston Villa
76,Paris S-G
77,Cagliari
78,Tottenham
79,Le Havre
80,Bayern Munich
81,Bochum
82,Las Palmas
83,Atalanta
84,RB Leipzig
85,Strasbourg
86,Rayo Vallecano
87,Lecce
88,Augsburg
89,Heidenheim
90,Lazio
91,Union Berlin
92,Stuttgart
93,Napoli
94,Ipswich Town
95,Arsenal
96,Gladbach
